Year,Appr amt (l),Appr trns(l),success%,avg trns®
Jan-21,2646,1.4,75%,3489
Feb-21,2282,1.1,59%,4411
Mar-21,3008,1.6,62%,3952
Apr-21,4303,2.2,59%,4964
May-21,2744,1.1,57%,5010
Jun-21,1620,0.3,49%,5745
Jul-21,2062,0.4,49%,4780
Aug-21,1736,0.4,51%,4635
Sep-21,2878,0.6,57%,4779
Oct-21,3993,0.8,58%,4790
Nov-21,4768,1.1,67%,4475
Dec-21,6257,1.5,65%,5611
