Year,Appr amt (l),Appr trns(l),success%,avg trns®
Jan-21,0,0,0,0
Feb-21,0,0,0,0
Mar-21,2.2,372,92.77%,598
Apr-21,10.4,1714,93.87%,611
May-21,5.1,908,91.62%,552
Jun-21,10.5,1758,92.92%,597
Jul-21,15.3,2374,93.39%,646
Aug-21,19,3142,91.50%,607
Sep-21,29.1,3653,89.36%,796
Oct-21,43.8,5403,89.66%,810
Nov-21,52.2,6366,89.27%,821
Dec-21,70.8,8050,89.33%,880
